Feature1,Feature2,Feature3,Class
-1.3646,-0.0613,0.0827,1 
1.1893,-0.5957,0.4195,1 
1.908,0.7829,1.6747,1 
-0.2318,-1.2922,0.7636,1 
0.8552,0.652,0.2036,1 
0.8287,-1.558,1.787,1 
0.2826,0.2573,1.3221,1 
-0.7623,-0.8491,2.2858,1 
0.761,-1.1311,1.7971,1 
-1.357,0.3384,2.6222,1 
1.3449,0.1324,1.621,1 
-1.7508,0.547,3.3731,1 
-1.1315,-1.9023,2.8674,1 
2.4743,-0.6678,2.1568,1 
-1.3911,-0.0029,1.697,1 
-1.4544,0.5588,0.9674,1 
0.674,0.7423,2.3908,1 
-0.2413,-1.1309,1.7207,1 
-0.0229,1.0,0.7937,1 
-0.5308,0.3894,1.6615,1 
-0.8419,-1.145,1.6763,1 
-0.6362,-0.0298,3.9373,1 
-1.4522,1.9467,2.2359,1 
-0.7416,-1.4751,1.413,1 
0.9406,1.1384,2.4012,1 
0.9337,-2.6737,1.7725,1 
-1.0051,-0.5801,3.2337,1 
-1.0536,0.624,2.0025,1 
-0.1317,-1.0308,3.0412,1 
0.2233,0.5872,1.5961,1 
0.4282,1.7972,1.0377,1 
0.0693,-0.3362,1.2842,1 
-1.0287,-1.6848,2.5918,1 
-0.2575,1.5224,1.0083,1 
0.0161,-0.6992,2.7493,1 
-1.6686,1.8581,1.4292,1 
1.2845,-0.0066,2.8687,1 
-0.189,-0.4016,2.6925,1 
-0.5441,-3.383,3.566,1 
1.0194,-0.4985,2.9034,1 
0.8104,-0.2415,1.0222,1 
1.662,-1.117,3.2396,1 
-1.6831,-0.6286,1.2655,1 
1.2039,-1.6875,1.8578,1 
0.5076,0.6804,2.7952,1 
-0.2241,-0.5778,-0.1281,1 
0.5502,0.3256,0.3802,1 
-0.799,0.1912,0.9728,1 
1.2611,0.4275,1.6619,1 
1.298,1.1873,0.7227,1 
0.1618,0.7559,2.397,1 
1.431,-0.0409,3.0624,1 
-1.867,0.8221,2.9768,1 
0.9106,-0.0907,0.7715,1 
0.5276,-0.7226,1.4953,1 
-2.5277,-0.0097,1.5354,1 
-0.4852,0.7368,1.0325,1 
-0.3202,0.9166,1.7989,1 
-0.912,-0.27,1.8482,1 
-0.5148,-0.7307,1.4668,1 
-1.7993,0.8346,1.3907,1 
-1.0498,0.9593,0.9122,1 
0.3105,1.7955,1.4346,1 
0.8197,-0.4967,0.3351,1 
0.7207,-1.035,3.3799,1 
0.5949,-0.2677,0.6545,1 
-0.2405,0.6607,3.6216,1 
-0.5173,-0.1826,2.8492,1 
1.1088,0.714,0.6734,1 
0.6691,0.9526,0.632,1 
-0.3422,-0.8159,4.0636,1 
0.7841,0.5575,3.3552,1 
-0.7735,-0.2443,0.3422,1 
